,Urban Aggl,change_abs_p0,change_abs_p10,change_abs_p100,change_abs_p20,change_abs_p30,change_abs_p40,change_abs_p50,change_abs_p60,change_abs_p70,change_abs_p80,change_abs_p90,change_norm_p0,change_norm_p10,change_norm_p100,change_norm_p20,change_norm_p30,change_norm_p40,change_norm_p50,change_norm_p60,change_norm_p70,change_norm_p80,change_norm_p90,max_extent,occurrence_p0,occurrence_p10,occurrence_p100,occurrence_p20,occurrence_p30,occurrence_p40,occurrence_p50,occurrence_p60,occurrence_p70,occurrence_p80,occurrence_p90,reach,recurrence_p0,recurrence_p10,recurrence_p100,recurrence_p20,recurrence_p30,recurrence_p40,recurrence_p50,recurrence_p60,recurrence_p70,recurrence_p80,recurrence_p90,seasonality_p0,seasonality_p10,seasonality_p100,seasonality_p20,seasonality_p30,seasonality_p40,seasonality_p50,seasonality_p60,seasonality_p70,seasonality_p80,seasonality_p90
0,Buenos Aires,-128.0,-13.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999999999999998,47.0,-128.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,99.9970190644988,57735.592156862826,0.0,71.67561315578753,100.0,89.15011570454695,96.71220463742917,98.00000000000055,98.00000000000055,99.00000000000102,99.00000000000102,99.00000000000102,99.00000000000102,city,9.0,77.0,100.0000000000004,97.0,100.00000000000033,100.00000000000033,100.00000000000033,100.00000000000033,100.00000000000033,100.00000000000033,100.00000000000033,1.0,5.082348050423661,12.00000000000001,11.99999999999999,12.00000000000001,12.00000000000001,12.00000000000001,12.00000000000001,12.00000000000001,12.00000000000001,12.00000000000001
1,Buenos Aires,-128.0,-13.932546140308627,100.0,-10.998448705703792,-9.0,-5.997356667017611,-2.0,0.0,2.0,3.0,5.035589502184337,-128.0,-69.00000000000001,100.00000000000009,-49.0,-33.0,-15.0,0.0,20.0,99.99989389972512,100.0,100.0,5627650.474509804,0.0,4.04798431179539,100.0,10.396113797176383,56.550647497989765,94.55372231138485,97.96226419224708,97.96226419224708,98.44337077431778,98.44337077431778,99.0000000000548,upstream,5.0,18.0,100.0000000000001,22.0,27.086512834875304,36.05987667512292,50.01747718891256,69.0,99.99999999999994,100.0,100.0,1.0,1.0,12.000000000000004,3.0,11.999999999999991,11.999999999999991,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002
2,Aracaju,-92.0,-27.0,89.0,-10.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999998,-100.0,-64.0,100.0,-2.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,46.0,45091.95686274508,0.0,69.00000000000009,100.0,91.00000000000055,96.99999999999778,97.99999999999716,97.99999999999716,99.00000000000196,99.00000000000196,99.00000000000196,100.0,city,5.0,51.0,100.0,80.0,97.0,99.99999999999984,99.99999999999984,99.99999999999984,99.99999999999984,99.99999999999984,99.99999999999984,1.0,4.0,12.0,11.99999999999998,11.99999999999998,11.99999999999998,11.99999999999998,11.99999999999998,11.99999999999998,11.99999999999998,11.99999999999998
3,Aracaju,-92.0,-19.0,70.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-100.0,-24.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15901.164705882356,0.0,69.0,100.0,84.28147282859996,91.00000000000016,95.00000000000088,96.44534446095696,96.44534446095696,97.50719215385595,97.50719215385595,98.0919476728719,upstream,7.0,56.99999999999999,100.0,86.0,96.98246988945718,100.0,100.0,100.0,100.0,100.0,100.0,1.0,3.0000000000000004,12.0,7.000000000000002,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991
4,Recife,-92.0,-24.0,92.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-100.0,-49.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47468.03137254905,0.0,80.00000000000009,100.0,90.00000000000018,97.84647815789285,98.957662052869,98.957662052869,98.957662052869,99.39574120598208,99.39574120598208,99.99999999999996,city,7.0,73.0,100.0,97.0,99.9999999999998,99.9999999999998,99.9999999999998,99.9999999999998,100.0,100.0,100.0,1.0,6.0,12.000000000000009,9.072115222829195,12.000000000000009,12.000000000000009,12.000000000000009,12.000000000000009,12.000000000000009,12.000000000000009,12.000000000000009
5,Recife,-128.0,-24.493279525064203,95.0,-5.0,7.000000000000001,16.0,28.000000000000004,49.0,65.0,74.00000000000001,81.0,-128.0,-100.0,100.00000000000004,12.0,60.0,74.00000000000001,84.00000000000001,91.0,96.0,100.00000000000004,100.00000000000004,15358.219607843144,0.0,25.00000000000004,97.0,49.0,65.87211565193213,75.51733473852526,79.49877770534532,81.00000000000037,83.00000000000016,84.48216112862404,85.92954717935731,upstream,7.0,41.99999999999999,100.0,53.18004820483926,61.99999999999999,69.0,75.00000000000001,77.0,82.0,88.0,95.0,1.0,1.0,12.0,2.339731109313547,2.339731109313547,5.0,9.0,12.0,12.0,12.0,12.0
6,La Serena Coquimbo,-33.0,4.0,53.0,5.0,5.0,6.0,6.0,8.0,9.0,13.0,19.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,277.47058823529414,0.0,2.0,38.0,3.000000000000001,4.999999999999998,6.0,8.0,12.000000000000002,14.0,16.0,17.0,upstream,28.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,12.0,2.0,4.0,4.5,12.0,12.0,12.0,12.0,12.0
7,La Serena Coquimbo,-128.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000001,21.000000000000004,-128.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,99.99999999999991,2861.9294117646978,0.0,89.0,99.0,95.00000000000114,95.00000000000114,95.00000000000114,96.00000000000124,96.00000000000124,96.00000000000124,96.99999999999996,96.99999999999996,city,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
8,Bahia Blanca,-128.0,-8.0,100.0,-5.0,-2.0,0.0,0.0,1.0,3.0,6.0,11.000000000000002,-128.0,-6.0,100.0,-2.0,0.0,2.0,12.000000000000002,23.0,36.0,60.0,99.99999999999996,93393.95686274514,0.0,20.709680373660458,99.0,39.38975397973952,57.2917829191169,68.00000000000021,73.10618655005575,78.0000000000004,82.00000000000041,88.00000000000004,97.00000000000024,upstream,8.0,36.4272633716676,100.0,48.0,55.99999999999999,64.0,76.00000000000001,87.99999999999999,94.0,99.99999999999996,99.99999999999996,1.0,1.0,12.0,1.0,2.0,4.0,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
9,Bahia Blanca,-128.0,-9.0,93.0,-5.758350683050769,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,-128.0,-6.000000000000001,100.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.000000000000004,710388.8352941175,0.0,61.19542341607176,100.0,73.22664898171264,80.80916792396907,84.95933074086642,89.92582301808906,96.7691339795575,98.92681821939924,98.92681821939924,98.92681821939924,downstream,6.0,62.26518063851013,100.00000000000024,93.0,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,1.0,3.0000000000000004,12.000000000000016,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004
