,AC_AREA,AXIS_FID,CLOUD_SCORE,COVERAGE_SCORE,DATE_ACQUIRED,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,LANDSAT_PRODUCT_ID,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_WATER_MNDWI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,Type_V
0,0,1,100,100,2020-01-10,523531.499,1,307.25898,0,LC08_L2SP_137039_20200110_20200823_02_T1,1000001,1,3,4,9,0,0.0,0,0.0,,,,,,,,
1,583,1,0,100,2020-01-26,523531.499,1,307.25898,0,LC08_L2SP_137039_20200126_20200823_02_T1,1000001,1,3,4,9,0,0.0,109,2658.0797761474296,-0.06422618361780641,0.017443042852511862,-0.0643599859660953,0.01734673793476555,0.04943775929133738,,,
2,0,1,100,100,2020-01-02,523531.499,1,307.25898,0,LE07_L2SP_137039_20200102_20200822_02_T1,1000001,1,3,4,9,0,0.0,0,0.0,,,,,,,,
3,583,1,12,100,2020-01-18,523531.499,1,307.25898,0,LE07_L2SP_137039_20200118_20200822_02_T1,1000001,1,3,4,9,0,0.0,165,3817.472411438306,-0.05421861008937506,0.007938996440652784,-0.05400620874419232,0.00789218741574942,0.06746780459204367,,,
4,151,1,95,100,2020-01-10,1068679.904,2,2230.43854,2000,LC08_L2SP_137039_20200110_20200823_02_T1,1000002,1,2,6,0,0,0.0,42,1121.4580128393172,-0.023745794227849826,0.0410817255717638,-0.02313585194773661,0.0408970256673743,0.016270833122485204,,,
5,1187,1,2,100,2020-01-26,1068679.904,2,2230.43854,2000,LC08_L2SP_137039_20200126_20200823_02_T1,1000002,1,2,6,0,0,0.0,101,2369.4416940779747,-0.0824139458402084,0.024562633546210296,-0.08224894477502011,0.024566220812266674,0.05978383987526039,,,
6,0,1,100,100,2020-01-02,1068679.904,2,2230.43854,2000,LE07_L2SP_137039_20200102_20200822_02_T1,1000002,1,2,6,0,0,0.0,0,0.0,,,,,,,,
7,1187,1,10,100,2020-01-18,1068679.904,2,2230.43854,2000,LE07_L2SP_137039_20200118_20200822_02_T1,1000002,1,2,6,0,0,0.0,235,5326.81628570386,-0.06979875956207554,0.01205715903707165,-0.06945158204269239,0.01198147100896655,0.050645867029730285,,,
8,361,1,73,100,2020-01-10,585980.138,3,2444.14551,4000,LC08_L2SP_137039_20200110_20200823_02_T1,1000003,1,2,3,0,0,0.0,112,3038.323125280947,-0.03583762247202955,0.04838974728920004,-0.03595398298850043,0.0484670931036917,0.024867733218831196,,,
9,654,1,1,100,2020-01-26,585980.138,3,2444.14551,4000,LC08_L2SP_137039_20200126_20200823_02_T1,1000003,1,2,3,0,0,0.0,50,1798.06533629288,-0.07596104413967603,0.02276308670624964,-0.07628422761886045,0.022895289602066337,0.059292304016960826,,,
10,0,1,99,100,2020-01-02,585980.138,3,2444.14551,4000,LE07_L2SP_137039_20200102_20200822_02_T1,1000003,1,2,3,0,0,0.0,0,0.0,,,,,,,,
11,654,1,18,100,2020-01-18,585980.138,3,2444.14551,4000,LE07_L2SP_137039_20200118_20200822_02_T1,1000003,1,2,3,0,0,0.0,259,4469.742728452932,-0.03671986926487974,0.005706546540395229,-0.03719806102367681,0.005912100359392485,0.03368228809782111,,,
12,7,1,100,100,2020-01-10,841265.355,4,1995.53638,6000,LC08_L2SP_137039_20200110_20200823_02_T1,1000004,1,2,0,0,0,0.0,0,0.0,-0.09995962210120624,0.06473644630802783,-0.10342570378511329,0.06675157520928962,,,,
13,933,1,1,100,2020-01-26,841265.355,4,1995.53638,6000,LC08_L2SP_137039_20200126_20200823_02_T1,1000004,1,2,0,0,0,0.0,82,2247.5597352999366,-0.09407935378383432,0.02973265444830722,-0.09461349994127655,0.029925638299579078,0.0654900335536127,,,
14,0,1,100,100,2020-01-02,841265.355,4,1995.53638,6000,LE07_L2SP_137039_20200102_20200822_02_T1,1000004,1,2,0,0,0,0.0,0,0.0,,,,,,,,
15,933,1,15,100,2020-01-18,841265.355,4,1995.53638,6000,LE07_L2SP_137039_20200118_20200822_02_T1,1000004,1,2,0,0,0,0.0,145,3707.323153974321,-0.08261687815378056,0.01591651267921636,-0.08333630713535288,0.016074845617919935,0.07111520699672394,,,
16,1055,1,71,100,2020-01-10,2364890.402,5,817.85829,8000,LC08_L2SP_137039_20200110_20200823_02_T1,1000005,1,2,6,0,0,0.0,77,2530.8100420537003,-0.06975617360477616,0.05136743338012211,-0.06994050333920447,0.05142584085310227,0.009450511736167884,,,
17,2625,1,2,100,2020-01-26,2364890.402,5,817.85829,8000,LC08_L2SP_137039_20200126_20200823_02_T1,1000005,1,2,6,0,0,0.0,74,2462.413817580046,-0.14018434347774011,0.0527289224563257,-0.14033702755028113,0.05278505735563126,0.04572127719786958,,,
18,0,1,100,100,2020-01-02,2364890.402,5,817.85829,8000,LE07_L2SP_137039_20200102_20200822_02_T1,1000005,1,2,6,0,0,0.0,0,0.0,,,,,,,,
